Player,Season,Pos,Age,90s,Gls,Shots,Shot_ontarget,PK,PKatt,xG,npxG,Pass_Cmp,pass_Att,pass_Cmp%,pass_PrgDist,Ast,xAG,xA,Tkl,Tkl_won,Blocks,Int,Touches,Take_ons_Att,Take_ons_Succ,Carries,Carries_PrgDist,PPM,Mins_Played
Sadio Mané,20-21,FW,28,31.2,11,94,34,0,0,14.1,14.1,812,1082,75,2510,7,7,5.3,58,31,30,15,1512,144,82,1061,3501,1.89,"2,810"
Fabinho,20-21,"DF,MF",26,28.5,0,10,1,0,0,0.3,0.3,1910,2117,90.2,10523,0,0.3,0.9,61,36,28,44,2386,11,7,1469,3870,1.87,"2,567"
Thiago Alcántara,20-21,MF,29,20.6,1,22,5,0,0,1.2,1.2,1545,1735,89,7745,0,2.3,2.2,24,15,26,30,1946,48,33,1252,2930,1.71,"1,854"
Jordan Henderson,20-21,"MF,DF",30,18.9,1,14,4,0,0,1.3,1.3,1597,1855,86.1,8368,1,1.5,2.3,22,14,12,34,1996,15,9,1389,4392,1.62,"1,704"
Nathaniel Phillips,20-21,DF,23,16.2,1,15,2,0,0,1,1,948,1127,84.1,5678,1,0.6,0.3,16,6,17,20,1314,2,2,774,1936,2.24,"1,456"
Curtis Jones,20-21,MF,19,13.1,1,19,9,0,0,1.7,1.7,900,983,91.6,2687,2,1.5,1.4,12,6,13,19,1133,34,22,798,1964,1.75,"1,179"
Diogo Jota,20-21,FW,23,12.4,9,46,26,0,0,6.4,6.4,321,449,71.5,966,0,1.6,1.3,26,19,9,5,626,43,21,425,1510,2,"1,112"
James Milner,20-21,"MF,DF",34,11.9,0,12,3,0,0,0.4,0.4,779,934,83.4,3618,1,0.8,1,19,10,30,14,1072,12,6,618,1419,1.73,"1,070"
Ozan Kabak,20-21,DF,20,8.9,0,1,0,0,0,0.1,0.1,520,588,88.4,2741,0,0,0,14,9,2,12,669,5,3,443,1005,1.56,801
Joël Matip,20-21,DF,28,7.7,1,5,2,0,0,0.8,0.8,479,546,87.7,2709,2,0.9,0.4,6,4,6,7,607,0,0,369,1181,1.9,691
Rhys Williams,20-21,DF,19,7.3,0,7,0,0,0,0.5,0.5,440,504,87.3,2661,0,0.2,0.2,11,5,4,6,558,0,0,321,572,2.44,661
Naby Keïta,20-21,MF,25,5.8,0,9,2,0,0,0.4,0.4,315,361,87.3,1075,0,0.6,0.6,3,2,10,9,430,10,8,279,815,2.4,520
Joe Gomez,20-21,DF,23,6.6,0,0,0,0,0,0,0,500,558,89.6,3234,0,0,0.1,7,4,3,4,603,4,4,431,1053,2,590
Xherdan Shaqiri,20-21,"MF,FW",28,6.2,0,11,0,0,0,0.5,0.5,361,428,84.3,1362,2,2.5,1.8,3,2,4,2,477,9,6,307,437,1.07,556
Virgil van Dijk,20-21,DF,29,4.1,1,4,2,0,0,0.2,0.2,307,342,89.8,2077,0,0,0,0,0,1,5,364,0,0,282,527,2,370
Adrián,20-21,GK,33,3,0,0,0,0,0,0,0,78,100,78,1138,0,0,0,6,5,0,0,110,0,0,52,79,1.33,270
Neco Williams,20-21,DF,19,2.8,0,2,0,0,0,0.1,0.1,151,210,71.9,629,0,0.2,0.1,4,3,3,6,244,7,5,153,337,1.83,249
Takumi Minamino,20-21,"MF,FW",25,3.3,1,7,3,0,0,1.1,1.1,111,142,78.2,248,0,0,0.1,4,0,1,2,168,7,7,106,162,1.89,293
